Name,weight,style,family,displayName,downloadUrl,license,unit,tier,price,Random number
"LNT Natalia Mono Bold Italic Desktop License, 1-3 users",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_desktop_97454568jgs.zip,desktop,users,1-3,€60.00,97454568jgs
"LNT Natalia Mono Bold Italic Desktop License, 4-10 users",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_desktop_97454568jgs.zip,desktop,users,4-10,€90.00,97454568jgs
"LNT Natalia Mono Bold Italic Desktop License, 11-30 users",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_desktop_97454568jgs.zip,desktop,users,11-30,€150.00,97454568jgs
"LNT Natalia Mono Bold Italic Desktop License, 31-100 users",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_desktop_97454568jgs.zip,desktop,users,31-100,€300.00,97454568jgs
"LNT Natalia Mono Bold Italic Web License, <10k views/month",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_web_7494kg8923f.zip,web,views/month,<10k,€60.00,7494kg8923f
"LNT Natalia Mono Bold Italic Web License, 10k-100k views/month",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_web_7494kg8923f.zip,web,views/month,10k-100k,€120.00,7494kg8923f
"LNT Natalia Mono Bold Italic Web License, 100k-500k views/month",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_web_7494kg8923f.zip,web,views/month,100k-500k,€300.00,7494kg8923f
"LNT Natalia Mono Bold Italic Web License, 500k-1m views/month",bold,italic,natalia_mono,LNT Natalia Mono Bold Italic,lnt-natalia-mono-bold-italic_web_7494kg8923f.zip,web,views/month,500k-1m,€600.00,7494kg8923f
"LNT Natalia Mono Full Family 
(6 weights) Desktop License, 1-3 users",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_desktop_jv74kmfs974hj.zip",desktop,users,1-3,€240.00,jv74kmfs974hj
"LNT Natalia Mono Full Family 
(6 weights) Desktop License, 4-10 users",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_desktop_jv74kmfs974hj.zip",desktop,users,4-10,€360.00,jv74kmfs974hj
"LNT Natalia Mono Full Family 
(6 weights) Desktop License, 11-30 users",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_desktop_jv74kmfs974hj.zip",desktop,users,11-30,€600.00,jv74kmfs974hj
"LNT Natalia Mono Full Family 
(6 weights) Desktop License, 31-100 users",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_desktop_jv74kmfs974hj.zip",desktop,users,31-100,"€1,200.00",jv74kmfs974hj
"LNT Natalia Mono Full Family 
(6 weights) Web License, <10k views/month",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_web_mb9é5mf8s9l.zip",web,views/month,<10k,€240.00,mb9é5mf8s9l
"LNT Natalia Mono Full Family 
(6 weights) Web License, 10k-100k views/month",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_web_mb9é5mf8s9l.zip",web,views/month,10k-100k,€480.00,mb9é5mf8s9l
"LNT Natalia Mono Full Family 
(6 weights) Web License, 100k-500k views/month",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_web_mb9é5mf8s9l.zip",web,views/month,100k-500k,"€1,200.00",mb9é5mf8s9l
"LNT Natalia Mono Full Family 
(6 weights) Web License, 500k-1m views/month",pack,pack,natalia_mono,"LNT Natalia Mono Full Family 
(6 weights)","lnt-natalia-mono-full-family-
(6-weights)_web_mb9é5mf8s9l.zip",web,views/month,500k-1m,"€2,400.00",mb9é5mf8s9l
